2017-03-25 20:40:52.213840: step 0, loss = 4.68 (57.7 examples/sec; 2.217 sec/batch)
2017-03-25 20:40:53.710554: step 10, loss = 4.65 (855.2 examples/sec; 0.150 sec/batch)
2017-03-25 20:40:55.402811: step 20, loss = 4.47 (756.4 examples/sec; 0.169 sec/batch)
2017-03-25 20:40:57.152037: step 30, loss = 4.38 (731.7 examples/sec; 0.175 sec/batch)
2017-03-25 20:40:58.892787: step 40, loss = 4.33 (735.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:00.625331: step 50, loss = 4.23 (738.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:02.365615: step 60, loss = 4.19 (735.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:04.115412: step 70, loss = 4.41 (731.5 examples/sec; 0.175 sec/batch)
2017-03-25 20:41:05.848707: step 80, loss = 4.18 (738.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:07.593602: step 90, loss = 4.08 (733.6 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:09.540612: step 100, loss = 4.01 (657.8 examples/sec; 0.195 sec/batch)
2017-03-25 20:41:11.109815: step 110, loss = 4.40 (815.0 examples/sec; 0.157 sec/batch)
2017-03-25 20:41:12.846828: step 120, loss = 3.89 (736.9 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:14.581676: step 130, loss = 3.89 (737.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:16.313706: step 140, loss = 4.01 (739.0 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:18.044211: step 150, loss = 3.81 (739.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:19.760888: step 160, loss = 4.01 (745.6 examples/sec; 0.172 sec/batch)
2017-03-25 20:41:21.486970: step 170, loss = 3.92 (741.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:23.223789: step 180, loss = 3.91 (737.0 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:24.952728: step 190, loss = 3.80 (740.3 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:26.888276: step 200, loss = 4.03 (661.3 examples/sec; 0.194 sec/batch)
2017-03-25 20:41:28.483095: step 210, loss = 3.96 (802.6 examples/sec; 0.159 sec/batch)
2017-03-25 20:41:30.221266: step 220, loss = 3.82 (736.4 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:31.949264: step 230, loss = 3.71 (740.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:33.681684: step 240, loss = 3.75 (739.1 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:35.423000: step 250, loss = 3.71 (734.8 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:37.160379: step 260, loss = 3.63 (736.9 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:38.905744: step 270, loss = 3.61 (733.3 examples/sec; 0.175 sec/batch)
2017-03-25 20:41:40.625890: step 280, loss = 3.49 (744.1 examples/sec; 0.172 sec/batch)
2017-03-25 20:41:42.373438: step 290, loss = 3.78 (732.5 examples/sec; 0.175 sec/batch)
2017-03-25 20:41:44.292648: step 300, loss = 3.45 (667.2 examples/sec; 0.192 sec/batch)
2017-03-25 20:41:45.885000: step 310, loss = 3.41 (803.5 examples/sec; 0.159 sec/batch)
2017-03-25 20:41:47.618768: step 320, loss = 3.54 (738.3 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:49.348763: step 330, loss = 3.36 (739.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:51.087555: step 340, loss = 3.60 (736.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:52.821322: step 350, loss = 3.52 (738.3 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:54.556226: step 360, loss = 3.48 (737.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:56.294721: step 370, loss = 3.56 (736.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:41:58.022941: step 380, loss = 3.34 (740.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:41:59.772025: step 390, loss = 3.32 (731.8 examples/sec; 0.175 sec/batch)
2017-03-25 20:42:01.784525: step 400, loss = 3.30 (636.3 examples/sec; 0.201 sec/batch)
2017-03-25 20:42:03.253463: step 410, loss = 3.26 (870.9 examples/sec; 0.147 sec/batch)
2017-03-25 20:42:04.943340: step 420, loss = 3.28 (757.5 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:06.675250: step 430, loss = 3.37 (739.1 examples/sec; 0.173 sec/batch)
2017-03-25 20:42:08.411186: step 440, loss = 3.37 (737.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:42:10.132138: step 450, loss = 3.25 (743.8 examples/sec; 0.172 sec/batch)
2017-03-25 20:42:11.877159: step 460, loss = 3.26 (733.5 examples/sec; 0.175 sec/batch)
2017-03-25 20:42:13.617893: step 470, loss = 3.29 (735.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:42:15.344238: step 480, loss = 3.35 (741.4 examples/sec; 0.173 sec/batch)
2017-03-25 20:42:17.080371: step 490, loss = 3.17 (737.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:42:19.050031: step 500, loss = 3.37 (649.9 examples/sec; 0.197 sec/batch)
2017-03-25 20:42:20.522290: step 510, loss = 3.09 (869.4 examples/sec; 0.147 sec/batch)
2017-03-25 20:42:22.211364: step 520, loss = 3.06 (757.8 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:23.907071: step 530, loss = 3.03 (754.9 examples/sec; 0.170 sec/batch)
2017-03-25 20:42:25.590988: step 540, loss = 3.10 (760.1 examples/sec; 0.168 sec/batch)
2017-03-25 20:42:27.278395: step 550, loss = 3.16 (758.6 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:28.965448: step 560, loss = 3.08 (758.7 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:30.646371: step 570, loss = 2.93 (761.5 examples/sec; 0.168 sec/batch)
2017-03-25 20:42:32.336470: step 580, loss = 2.96 (757.4 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:34.018174: step 590, loss = 2.96 (761.1 examples/sec; 0.168 sec/batch)
2017-03-25 20:42:35.888221: step 600, loss = 3.02 (685.0 examples/sec; 0.187 sec/batch)
2017-03-25 20:42:37.424367: step 610, loss = 2.90 (832.7 examples/sec; 0.154 sec/batch)
2017-03-25 20:42:39.113240: step 620, loss = 2.94 (757.7 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:40.791413: step 630, loss = 2.93 (762.7 examples/sec; 0.168 sec/batch)
2017-03-25 20:42:42.473625: step 640, loss = 2.99 (761.0 examples/sec; 0.168 sec/batch)
2017-03-25 20:42:44.150780: step 650, loss = 2.85 (763.1 examples/sec; 0.168 sec/batch)
2017-03-25 20:42:45.829337: step 660, loss = 3.20 (762.6 examples/sec; 0.168 sec/batch)
2017-03-25 20:42:47.503507: step 670, loss = 2.75 (764.6 examples/sec; 0.167 sec/batch)
2017-03-25 20:42:49.189458: step 680, loss = 2.79 (759.2 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:50.875717: step 690, loss = 3.17 (759.1 examples/sec; 0.169 sec/batch)
2017-03-25 20:42:52.817181: step 700, loss = 2.84 (659.6 examples/sec; 0.194 sec/batch)
2017-03-25 20:42:54.370159: step 710, loss = 2.80 (823.8 examples/sec; 0.155 sec/batch)
2017-03-25 20:42:56.102435: step 720, loss = 2.67 (739.0 examples/sec; 0.173 sec/batch)
2017-03-25 20:42:57.853722: step 730, loss = 2.88 (730.8 examples/sec; 0.175 sec/batch)
2017-03-25 20:42:59.589370: step 740, loss = 2.69 (737.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:01.327819: step 750, loss = 2.84 (736.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:03.078965: step 760, loss = 2.84 (731.0 examples/sec; 0.175 sec/batch)
2017-03-25 20:43:04.818636: step 770, loss = 2.57 (735.8 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:06.547007: step 780, loss = 2.73 (740.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:08.285180: step 790, loss = 2.80 (736.4 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:10.194837: step 800, loss = 2.68 (670.3 examples/sec; 0.191 sec/batch)
2017-03-25 20:43:11.800911: step 810, loss = 2.77 (797.0 examples/sec; 0.161 sec/batch)
2017-03-25 20:43:13.530820: step 820, loss = 2.67 (739.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:15.260205: step 830, loss = 2.52 (740.1 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:16.995543: step 840, loss = 2.73 (737.6 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:18.733855: step 850, loss = 2.52 (736.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:20.464807: step 860, loss = 2.57 (739.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:22.206017: step 870, loss = 2.59 (735.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:23.956885: step 880, loss = 2.69 (731.0 examples/sec; 0.175 sec/batch)
2017-03-25 20:43:25.667447: step 890, loss = 2.57 (748.3 examples/sec; 0.171 sec/batch)
2017-03-25 20:43:27.568852: step 900, loss = 2.58 (673.5 examples/sec; 0.190 sec/batch)
2017-03-25 20:43:29.164787: step 910, loss = 2.54 (801.6 examples/sec; 0.160 sec/batch)
2017-03-25 20:43:30.902235: step 920, loss = 2.69 (736.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:32.635523: step 930, loss = 2.49 (738.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:34.366503: step 940, loss = 2.60 (739.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:36.113659: step 950, loss = 2.42 (732.6 examples/sec; 0.175 sec/batch)
2017-03-25 20:43:37.852185: step 960, loss = 2.63 (736.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:39.585737: step 970, loss = 2.56 (738.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:41.315879: step 980, loss = 2.48 (739.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:43.054938: step 990, loss = 2.42 (736.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:44.980071: step 1000, loss = 2.35 (664.9 examples/sec; 0.193 sec/batch)
2017-03-25 20:43:46.566816: step 1010, loss = 2.49 (806.4 examples/sec; 0.159 sec/batch)
2017-03-25 20:43:48.291862: step 1020, loss = 2.38 (742.0 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:50.010678: step 1030, loss = 2.53 (744.7 examples/sec; 0.172 sec/batch)
2017-03-25 20:43:51.743675: step 1040, loss = 2.52 (738.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:53.475533: step 1050, loss = 2.36 (739.1 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:55.214405: step 1060, loss = 2.56 (736.1 examples/sec; 0.174 sec/batch)
2017-03-25 20:43:56.941978: step 1070, loss = 2.25 (740.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:43:58.669537: step 1080, loss = 2.15 (740.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:00.408897: step 1090, loss = 2.22 (735.9 examples/sec; 0.174 sec/batch)
2017-03-25 20:44:02.327214: step 1100, loss = 2.36 (667.3 examples/sec; 0.192 sec/batch)
2017-03-25 20:44:03.907118: step 1110, loss = 2.34 (810.2 examples/sec; 0.158 sec/batch)
2017-03-25 20:44:05.633378: step 1120, loss = 2.32 (741.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:07.356367: step 1130, loss = 2.40 (743.0 examples/sec; 0.172 sec/batch)
2017-03-25 20:44:09.097916: step 1140, loss = 2.28 (734.9 examples/sec; 0.174 sec/batch)
2017-03-25 20:44:10.826141: step 1150, loss = 2.20 (740.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:12.564649: step 1160, loss = 2.26 (736.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:44:14.308040: step 1170, loss = 2.23 (734.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:44:16.034432: step 1180, loss = 2.15 (741.4 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:17.776669: step 1190, loss = 1.99 (734.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:44:19.707403: step 1200, loss = 2.29 (663.0 examples/sec; 0.193 sec/batch)
2017-03-25 20:44:21.262613: step 1210, loss = 2.22 (823.0 examples/sec; 0.156 sec/batch)
2017-03-25 20:44:22.997512: step 1220, loss = 2.24 (737.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:24.728643: step 1230, loss = 2.15 (739.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:26.463112: step 1240, loss = 2.27 (737.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:28.189603: step 1250, loss = 2.17 (741.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:29.932902: step 1260, loss = 2.20 (734.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:44:31.665396: step 1270, loss = 2.34 (738.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:33.391712: step 1280, loss = 1.83 (741.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:35.123957: step 1290, loss = 2.07 (738.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:37.040870: step 1300, loss = 1.92 (667.7 examples/sec; 0.192 sec/batch)
2017-03-25 20:44:38.634205: step 1310, loss = 2.10 (803.3 examples/sec; 0.159 sec/batch)
2017-03-25 20:44:40.367935: step 1320, loss = 2.14 (738.3 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:42.094112: step 1330, loss = 2.29 (741.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:43.824629: step 1340, loss = 2.10 (739.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:45.557661: step 1350, loss = 1.99 (738.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:47.292283: step 1360, loss = 2.23 (737.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:49.026311: step 1370, loss = 1.86 (738.2 examples/sec; 0.173 sec/batch)
2017-03-25 20:44:50.747774: step 1380, loss = 2.12 (743.8 examples/sec; 0.172 sec/batch)
2017-03-25 20:44:52.483792: step 1390, loss = 2.02 (737.1 examples/sec; 0.174 sec/batch)
2017-03-25 20:44:54.475382: step 1400, loss = 2.15 (642.7 examples/sec; 0.199 sec/batch)
2017-03-25 20:44:55.962268: step 1410, loss = 1.92 (860.9 examples/sec; 0.149 sec/batch)
2017-03-25 20:44:57.654639: step 1420, loss = 2.07 (756.3 examples/sec; 0.169 sec/batch)
2017-03-25 20:44:59.381196: step 1430, loss = 2.04 (741.4 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:01.107131: step 1440, loss = 1.93 (741.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:02.844477: step 1450, loss = 2.18 (736.8 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:04.582111: step 1460, loss = 2.11 (736.6 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:06.310327: step 1470, loss = 1.84 (740.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:08.040762: step 1480, loss = 2.01 (739.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:09.766548: step 1490, loss = 1.97 (741.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:11.683474: step 1500, loss = 1.98 (667.7 examples/sec; 0.192 sec/batch)
2017-03-25 20:45:13.276255: step 1510, loss = 1.91 (803.6 examples/sec; 0.159 sec/batch)
2017-03-25 20:45:15.018583: step 1520, loss = 1.99 (734.6 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:16.733783: step 1530, loss = 2.00 (746.3 examples/sec; 0.172 sec/batch)
2017-03-25 20:45:18.456995: step 1540, loss = 2.00 (742.8 examples/sec; 0.172 sec/batch)
2017-03-25 20:45:20.198871: step 1550, loss = 1.90 (734.8 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:21.923808: step 1560, loss = 1.82 (742.1 examples/sec; 0.172 sec/batch)
2017-03-25 20:45:23.661944: step 1570, loss = 1.82 (736.4 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:25.389690: step 1580, loss = 1.91 (740.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:27.126466: step 1590, loss = 1.79 (737.0 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:29.042964: step 1600, loss = 1.99 (667.9 examples/sec; 0.192 sec/batch)
2017-03-25 20:45:30.646844: step 1610, loss = 2.04 (798.1 examples/sec; 0.160 sec/batch)
2017-03-25 20:45:32.390549: step 1620, loss = 1.96 (734.1 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:34.118554: step 1630, loss = 1.79 (740.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:35.851333: step 1640, loss = 1.95 (738.7 examples/sec; 0.173 sec/batch)
